Year,level,seahensa
1960,16,50.295
1961,-9,24.02
1962,-17,14.745
1963,-60,-29.53
1964,-29,0.195
1965,-19,8.92
1966,-19,7.645
1967,-16,9.37
1968,-48,-23.905
1969,-11,11.82
1970,-28,-6.455
1971,-20,0.27
1972,21,39.995
1973,7,24.72
1974,2,18.445
1975,9,24.17
1976,-1,12.895
1977,-11,1.62
1978,-7,4.345
1979,-12,-1.93
1980,-25,-16.205
1981,2,9.52
1982,-35,-28.755
1983,-20,-15.03
1984,-47,-43.305
1985,-56,-53.58
1986,-37,-35.855
1987,-11,-11.13
1988,-32,-33.405
1989,-12,-14.68
1990,-14,-17.955
1991,-5,-10.23
1992,4,-2.505
1993,-22,-29.78
1994,5,-4.055
1995,-5,-15.33
1996,-29,-40.605
1997,-8,-20.88
1998,7,-7.155
1999,40,24.57
2000,14,-2.705
2001,12,-5.98
2002,31,11.745
2003,26,5.47
2004,59,37.195
2005,4,-19.08
2006,9,-15.355
2007,24,-1.63
2008,12,-14.905
2009,27,-1.18
2010,55,25.545
2011,42,11.27
2012,68,35.995
2013,58,24.72
2014,37,2.445
2015,37,1.17
2016,73,35.895
2017,49,10.62
2018,44,4.345
